"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
56,"1","2026-02-09T14:01:13.298944Z",56,397.367,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-09T14:01:13.298944Z"
57,"1","2026-02-09T14:01:41.304814Z",57,23.235,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-09T14:01:41.304814Z"
58,"1","2026-02-09T14:01:54.020940Z",58,7.671,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-09T14:01:54.020940Z"
59,"1","2026-02-09T14:02:04.397521Z",59,5.251,"Total garbage. A complete misfire.","Negative","2026-02-09T14:02:04.397521Z"
60,"1","2026-02-09T14:03:11.069783Z",60,62.672,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-09T14:03:11.069783Z"
61,"1","2026-02-09T14:03:23.558935Z",61,8.767,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-09T14:03:23.558935Z"
62,"1","2026-02-09T14:03:40.578445Z",62,9.912,"I have never been so bored in my life. Do not bother.","Negative","2026-02-09T14:03:40.578445Z"
63,"1","2026-02-09T14:04:47.806741Z",63,63.512,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-09T14:04:47.806741Z"
64,"1","2026-02-09T14:05:21.294126Z",64,26.65,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-09T14:05:21.294126Z"
65,"1","2026-02-09T14:05:45.149514Z",65,18.233,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Positive","2026-02-09T14:05:45.149514Z"
66,"1","2026-02-09T14:06:20.660582Z",66,37.431000000000004,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-09T14:06:37.497887Z"
67,"1","2026-02-09T14:07:08.063989Z",67,25.495,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-09T14:07:08.063989Z"
68,"1","2026-02-09T14:11:47.968413Z",68,17.673,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-09T14:11:47.968413Z"
69,"1","2026-02-09T14:12:14.527434Z",69,13.53,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-09T14:12:14.527434Z"
70,"1","2026-02-09T14:12:25.600910Z",70,7.176,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-09T14:12:25.600910Z"
71,"1","2026-02-09T14:12:44.277818Z",71,13.271,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Negative","2026-02-09T14:12:44.277818Z"
72,"1","2026-02-09T14:12:59.334863Z",72,9.164,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-09T14:12:59.334863Z"
73,"1","2026-02-09T14:14:34.375110Z",73,90.834,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-09T14:14:34.375110Z"
74,"1","2026-02-09T14:14:51.778943Z",74,11.575,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-09T14:14:51.778943Z"
75,"1","2026-02-09T14:15:15.796880Z",75,17.894,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-09T14:15:15.796880Z"
76,"1","2026-02-09T14:15:35.709066Z",76,11.727,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-09T14:15:35.709066Z"
77,"1","2026-02-09T14:16:10.358748Z",77,30.729,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-09T14:16:10.358748Z"
78,"1","2026-02-09T14:17:30.043897Z",78,73.832,"Standard fare for this type of movie. Good for a one-time watch.","Neutral","2026-02-09T14:17:30.043897Z"
79,"1","2026-02-09T14:17:43.450143Z",79,7.597,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-09T14:17:43.450143Z"
80,"1","2026-02-09T14:17:53.884033Z",80,5.077,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-09T14:17:53.884033Z"
81,"1","2026-02-09T14:18:09.103777Z",81,7.305,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-09T14:18:09.103777Z"
82,"1","2026-02-09T14:18:40.343766Z",82,23.872,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Negative","2026-02-09T14:18:40.343766Z"
83,"1","2026-02-09T14:18:55.701099Z",83,11.876000000000001,"I have mixed feelings about this one. 6/10 at best.","Negative","2026-02-09T14:19:01.067772Z"
84,"1","2026-02-09T14:19:12.027489Z",84,5.32,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-09T14:19:12.027489Z"
85,"1","2026-02-09T14:19:24.529619Z",85,6.394,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-09T14:19:24.529619Z"
86,"1","2026-02-09T14:19:35.247463Z",86,4.529,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-09T14:19:35.247463Z"
87,"1","2026-02-09T14:20:32.769413Z",87,8.207,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-09T14:20:32.769413Z"
88,"1","2026-02-09T14:21:10.658997Z",88,31.603,"It was... fine. It has some good moments, especially the character development. It is what it is.","Positive","2026-02-09T14:21:10.658997Z"
89,"1","2026-02-09T14:22:41.465152Z",89,84.141,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-09T14:22:41.465152Z"
90,"1","2026-02-09T14:22:56.426709Z",90,5.602,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-09T14:22:56.426709Z"
91,"1","2026-02-09T14:23:17.060439Z",91,13.996,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-09T14:23:17.060439Z"
92,"1","2026-02-09T14:23:30.108694Z",92,4.626,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-09T14:23:30.108694Z"
93,"1","2026-02-09T14:24:03.253267Z",93,24.028,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-09T14:24:03.253267Z"
94,"1","2026-02-09T14:24:29.960134Z",94,19.513,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-09T14:24:29.960134Z"
95,"1","2026-02-09T14:24:45.279779Z",95,8.311,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Negative","2026-02-09T14:24:45.281786Z"
96,"1","2026-02-09T14:25:04.216771Z",96,12.104,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Negative","2026-02-09T14:25:04.216771Z"
97,"1","2026-02-09T14:25:26.155785Z",97,15.031,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Negative","2026-02-09T14:25:26.155785Z"
98,"1","2026-02-09T14:25:48.817851Z",98,15.152,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-09T14:25:48.817851Z"
99,"1","2026-02-09T14:26:02.907008Z",99,9.195,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-09T14:26:02.907008Z"
100,"1","2026-02-09T14:26:17.008834Z",100,6.801,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-09T14:26:17.008834Z"
